[19:58:53] === bench-spark run ===
[19:58:53] Profile: qwen3.6-27b-bf16
[19:58:53] Tests:   01 02 03 04 05 06 07 08 09 10 11
[19:58:53] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/bf16
[19:58:59] Sanity-check op modeloutput...
[19:59:55] SANITY: OK, model antwoordt: 1. één 2. twee 3. drie 4. vier 5. vijf We need to count from 1 to 5 in
[19:59:55] ── START 01 ──
[00:02:18]     ... 03 running: 8949s, GPU 96%, 41.93W, 67C, 2489MHz
[00:03:18]     ... 03 running: 9009s, GPU 96%, 41.90W, 67C, 2489MHz
[00:04:09]     ... 03 running: 9060s, GPU 96%, 41.90W, 67C, 2489MHz
[00:05:09]     ... 03 running: 9120s, GPU 96%, 41.95W, 67C, 2489MHz
[00:06:09]     ... 03 running: 9180s, GPU 96%, 41.93W, 68C, 2489MHz
[00:07:10]     ... 03 running: 9241s, GPU 96%, 41.95W, 68C, 2489MHz
[00:08:10]     ... 03 running: 9301s, GPU 96%, 42.06W, 68C, 2489MHz
[00:09:11]     ... 03 running: 9362s, GPU 96%, 42.07W, 68C, 2489MHz
[00:10:11]     ... 03 running: 9422s, GPU 96%, 39.41W, 67C, 2489MHz
[00:11:11]     ... 03 running: 9482s, GPU 96%, 39.36W, 67C, 2489MHz
[00:12:12]     ... 03 running: 9543s, GPU 96%, 39.32W, 67C, 2489MHz
[00:13:12]     ... 03 running: 9603s, GPU 96%, 37.77W, 66C, 2489MHz
[00:14:13]     ... 03 running: 9664s, GPU 96%, 37.62W, 66C, 2489MHz
[00:15:13]     ... 03 running: 9724s, GPU 96%, 36.78W, 65C, 2489MHz
[00:16:13]     ... 03 running: 9784s, GPU 96%, 36.83W, 65C, 2489MHz
[00:17:14]     ... 03 running: 9845s, GPU 96%, 36.77W, 65C, 2489MHz
[00:18:14]     ... 03 running: 9905s, GPU 96%, 36.76W, 65C, 2489MHz
[00:18:28] ── END 03 (9919s) ──
[00:18:28] ── START 04 ──
[00:19:28]     ... 04 running: 60s, GPU 96%, 50.95W, 70C, 2496MHz
[00:20:28]     ... 04 running: 120s, GPU 96%, 51.20W, 71C, 2496MHz
[00:21:29]     ... 04 running: 181s, GPU 96%, 51.52W, 72C, 2496MHz
[00:22:29]     ... 04 running: 241s, GPU 96%, 50.83W, 73C, 2470MHz
[00:23:30]     ... 04 running: 302s, GPU 96%, 51.42W, 73C, 2470MHz
[00:24:30]     ... 04 running: 362s, GPU 96%, 51.31W, 73C, 2470MHz
[00:25:30]     ... 04 running: 422s, GPU 96%, 51.52W, 73C, 2470MHz
[00:26:31]     ... 04 running: 483s, GPU 96%, 51.67W, 73C, 2470MHz
[00:27:31]     ... 04 running: 543s, GPU 96%, 39.32W, 67C, 2489MHz
[00:28:31]     ... 04 running: 603s, GPU 96%, 39.17W, 66C, 2489MHz
[00:29:32]     ... 04 running: 664s, GPU 96%, 39.61W, 68C, 2489MHz
[00:30:32]     ... 04 running: 724s, GPU 96%, 39.47W, 67C, 2489MHz
[00:31:33]     ... 04 running: 785s, GPU 96%, 39.72W, 68C, 2489MHz
[00:32:33]     ... 04 running: 845s, GPU 96%, 39.42W, 67C, 2489MHz
[00:33:34]     ... 04 running: 906s, GPU 96%, 39.75W, 68C, 2489MHz
[00:34:34]     ... 04 running: 966s, GPU 96%, 39.47W, 67C, 2489MHz
[00:35:34]     ... 04 running: 1026s, GPU 96%, 42.93W, 71C, 2489MHz
[00:36:35]     ... 04 running: 1087s, GPU 96%, 42.25W, 69C, 2489MHz
[00:37:35]     ... 04 running: 1147s, GPU 96%, 90.10W, 79C, 2444MHz
[00:38:36]     ... 04 running: 1208s, GPU 96%, 42.53W, 70C, 2489MHz
[00:39:36]     ... 04 running: 1268s, GPU 96%, 42.30W, 69C, 2489MHz
[00:40:36]     ... 04 running: 1328s, GPU 96%, 42.83W, 71C, 2489MHz
[00:41:37]     ... 04 running: 1389s, GPU 96%, 42.39W, 69C, 2489MHz
[00:42:37]     ... 04 running: 1449s, GPU 96%, 43.17W, 72C, 2470MHz
[00:43:28]     ... 04 running: 1500s, GPU 96%, 42.62W, 70C, 2489MHz
[00:44:28]     ... 04 running: 1560s, GPU 96%, 42.44W, 69C, 2489MHz
[00:44:33] ── END 04 (1565s) ──
[00:44:33] ── START 05 ──
[00:45:33]     ... 05 running: 60s, GPU 96%, 51.12W, 72C, 2470MHz
[00:46:34]     ... 05 running: 121s, GPU 96%, 51.31W, 73C, 2470MHz
[00:47:34]     ... 05 running: 181s, GPU 96%, 51.42W, 73C, 2470MHz
[00:48:34]     ... 05 running: 241s, GPU 96%, 51.75W, 73C, 2470MHz
